序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4990,600735,新华锦,5.14,-3.38,-0.18,502271.0,267185856.0,12.41,5.72,5.06,5.32,5.32,1.08,11.81,39.28,1.6,2203920046.0,2186822391.0,-0.39,-0.39,13.72,12.72
4991,688095,福昕软件,61.54,-3.39,-2.16,25909.0,160674375.0,3.64,63.5,61.18,63.21,63.7,0.93,2.83,219.45,2.2,5627188307.0,5627188307.0,0.0,-0.15,-12.1,-8.37
4992,688662,富信科技,35.67,-3.39,-1.25,19331.0,69315225.0,3.44,36.77,35.5,36.55,36.92,1.1,2.19,65.41,4.48,3147520800.0,3147520800.0,0.0,-0.28,5.6,3.93
4993,688687,凯因科技,25.9,-3.39,-0.91,50765.0,133050127.0,4.21,26.99,25.86,26.7,26.81,0.82,2.97,30.78,2.4,4427460530.0,4427460530.0,0.0,0.04,20.07,20.02
4994,688268,华特气体,52.31,-3.4,-1.84,39874.0,210338759.0,3.79,54.15,52.1,53.4,54.15,0.69,3.32,34.08,3.52,6297353003.0,6288878783.0,0.04,-0.06,18.81,13.92
4995,002356,赫美集团,2.84,-3.4,-0.1,198540.0,56602791.5,4.76,2.96,2.82,2.93,2.94,1.04,1.51,-87.58,6.61,3723962840.0,3723962840.0,-0.35,0.0,-16.22,-13.68
4996,603558,健盛集团,8.81,-3.4,-0.31,90311.0,79727182.0,4.5,9.11,8.7,9.02,9.12,1.06,2.56,9.58,1.25,3111543543.0,3111543543.0,0.0,-0.23,-23.26,-18.12
4997,300416,苏试试验,15.87,-3.41,-0.56,150674.0,241465809.44,4.38,16.55,15.83,16.33,16.43,0.62,2.98,35.18,3.06,8070653681.0,8016626456.0,-0.13,-0.19,41.7,34.95
4998,002541,鸿路钢构,19.18,-3.42,-0.68,61500.0,119372255.18,4.23,19.86,19.02,19.8,19.86,0.71,1.24,17.14,1.42,13234455267.0,9516622844.0,-0.05,-0.16,21.16,6.97
4999,835179,凯德石英,37.8,-3.42,-1.34,80708.0,305188039.97,5.06,38.99,37.01,38.0,39.14,0.54,13.62,59.48,3.86,2835000000.0,2240057106.0,0.32,-0.13,38.11,48.58
5000,688629,华丰科技,50.8,-3.44,-1.81,133550.0,689793537.0,4.87,53.27,50.71,52.54,52.61,0.65,7.49,-1266.16,16.04,23418435815.0,9058940531.0,0.0,-0.18,38.76,51.69
5001,688045,必易微,37.34,-3.44,-1.33,26312.0,99030818.0,4.32,38.67,37.0,38.13,38.67,0.74,6.98,-151.87,1.91,2607744161.0,1407533876.0,-0.19,-0.45,19.83,17.05
5002,002982,湘佳股份,21.32,-3.44,-0.76,88106.0,189397017.76,3.89,22.07,21.21,21.9,22.08,0.62,9.5,31.54,1.92,3094348002.0,1977818280.0,0.05,0.05,27.06,20.79
5003,600243,青海华鼎,2.52,-3.45,-0.09,267514.0,67740132.0,3.83,2.6,2.5,2.59,2.61,0.6,6.1,-47.08,1.56,1105902000.0,1105902000.0,0.0,0.0,-32.62,-31.71
